iss_date,NOME_NUTS2,CASI_CUMULATIVI,iss_date_iso8601,file_date_iso8601,file
23/04/2020,Abruzzo,2670,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Basilicata,177,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Calabria,1040,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Campania,4099,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Emilia-Romagna,23388,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Friuli-Venezia Giulia,2458,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Lazio,6001,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Liguria,3183,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Lombardia,70163,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Marche,5927,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Molise,284,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Piemonte,16554,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Provincia Autonoma di Bolzano/Bozen,2387,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Provincia Autonoma di Trento,4286,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Puglia,3840,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Sardegna,1237,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Sicilia,2587,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Toscana,7569,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Umbria,1263,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Valle d'Aosta/Vallée d'Aoste,1140,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
23/04/2020,Veneto,16890,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_casi_regioni
24/04/2020,Abruzzo,2787,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Basilicata,186,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Calabria,1040,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Campania,4212,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Emilia-Romagna,23677,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Friuli-Venezia Giulia,2483,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Lazio,6080,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Liguria,6881,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Lombardia,71254,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Marche,5966,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Molise,287,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Piemonte,16554,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Provincia Autonoma di Bolzano/Bozen,2389,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Provincia Autonoma di Trento,4365,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Puglia,3881,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Sardegna,1243,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Sicilia,2620,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Toscana,7722,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Umbria,1265,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Valle d'Aosta/Vallée d'Aoste,1139,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
24/04/2020,Veneto,17238,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_casi_regioni
25/04/2020,Abruzzo,2806,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Basilicata,189,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Calabria,1041,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Campania,4239,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Emilia-Romagna,23924,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Friuli-Venezia Giulia,2525,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Lazio,6158,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Liguria,7025,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Lombardia,71967,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Marche,6042,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Molise,292,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Piemonte,24105,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Provincia Autonoma di Bolzano/Bozen,2435,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Provincia Autonoma di Trento,4445,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Puglia,3932,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Sardegna,1253,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Sicilia,2644,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Toscana,7844,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Umbria,1273,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Valle d'Aosta/Vallée d'Aoste,1139,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
25/04/2020,Veneto,17400,2020-04-25,2020-04-25,COVID_19_ISS_open_data_2020-04-25_casi_regioni
26/04/2020,Abruzzo,2815,2020-04-26,2020-04-26,COVID_19_ISS_open_data_2020-04-26_casi_regioni
26/04/2020,Basilicata,203,2020-04-26,2020-04-26,COVID_19_ISS_open_data_2020-04-26_casi_regioni
26/04/2020,Calabria,1040,2020-04-26,2020-04-26,COVID_19_ISS_open_data_2020-04-26_casi_regioni
26/04/2020,Campania,4279,2020-04-26,2020-04-26,COVID_19_ISS_open_data_2020-04-26_casi_regioni
26/04/2020,Emilia-Romagna,24163,2020-04-26,2020-04-26,COVID_19_ISS_open_data_2020-04-26_casi_regioni
26/04/2020,Friuli-Venezia Giulia,2545,2020-04-26,2020-04-26,COVID_19_ISS_open_data_2020-04-26_casi_regioni
